Diagnóstico principal (CIE9MC);Urgencia del ingreso y sexo;Total
Resto (430-438) Otras enfermedades cerebrovasculares;Total;10,29
Resto (430-438) Otras enfermedades cerebrovasculares;Casos ordinarios:Ambos sexos;13,79
Resto (430-438) Otras enfermedades cerebrovasculares;Casos ordinarios:Hombres;13,34
Resto (430-438) Otras enfermedades cerebrovasculares;Casos ordinarios:Mujeres;14,33
Resto (430-438) Otras enfermedades cerebrovasculares;Casos urgentes:Ambos sexos;9,47
Resto (430-438) Otras enfermedades cerebrovasculares;Casos urgentes:Hombres;9,40
Resto (430-438) Otras enfermedades cerebrovasculares;Casos urgentes:Mujeres;9,55
440-449 VII.8 ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES;Total;9,93
440-449 VII.8 ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES;Casos ordinarios:Ambos sexos;7,39
440-449 VII.8 ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES;Casos ordinarios:Hombres;7,28
440-449 VII.8 ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES;Casos ordinarios:Mujeres;7,78
440-449 VII.8 ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES;Casos urgentes:Ambos sexos;12,72
440-449 VII.8 ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES;Casos urgentes:Hombres;13,58
440-449 VII.8 ENFERMEDADES DE LAS ARTERIAS, ARTERIOLAS Y CAPILARES;Casos urgentes:Mujeres;11,08
440 Aterosclerosis;Total;10,88
440 Aterosclerosis;Casos ordinarios:Ambos sexos;7,51
440 Aterosclerosis;Casos ordinarios:Hombres;7,30
440 Aterosclerosis;Casos ordinarios:Mujeres;8,23
440 Aterosclerosis;Casos urgentes:Ambos sexos;15,46
440 Aterosclerosis;Casos urgentes:Hombres;16,00
440 Aterosclerosis;Casos urgentes:Mujeres;14,16
Resto (440-449) Otras enfermedades de las arterias, arteriolas y capilares;Total;8,93
Resto (440-449) Otras enfermedades de las arterias, arteriolas y capilares;Casos ordinarios:Ambos sexos;7,24
Resto (440-449) Otras enfermedades de las arterias, arteriolas y capilares;Casos ordinarios:Hombres;7,26
Resto (440-449) Otras enfermedades de las arterias, arteriolas y capilares;Casos ordinarios:Mujeres;7,15
Resto (440-449) Otras enfermedades de las arterias, arteriolas y capilares;Casos urgentes:Ambos sexos;10,41
Resto (440-449) Otras enfermedades de las arterias, arteriolas y capilares;Casos urgentes:Hombres;11,23
Resto (440-449) Otras enfermedades de las arterias, arteriolas y capilares;Casos urgentes:Mujeres;9,13
451-459 VII.9 ENFERMEDADES DE VENAS Y LINFÁTICOS Y OTRAS ENFERMEDADES DEL APARATO CIRCULATORIO;Total;3,25
451-459 VII.9 ENFERMEDADES DE VENAS Y LINFÁTICOS Y OTRAS ENFERMEDADES DEL APARATO CIRCULATORIO;Casos ordinarios:Ambos sexos;1,77
451-459 VII.9 ENFERMEDADES DE VENAS Y LINFÁTICOS Y OTRAS ENFERMEDADES DEL APARATO CIRCULATORIO;Casos ordinarios:Hombres;1,79
451-459 VII.9 ENFERMEDADES DE VENAS Y LINFÁTICOS Y OTRAS ENFERMEDADES DEL APARATO CIRCULATORIO;Casos ordinarios:Mujeres;1,75
451-459 VII.9 ENFERMEDADES DE VENAS Y LINFÁTICOS Y OTRAS ENFERMEDADES DEL APARATO CIRCULATORIO;Casos urgentes:Ambos sexos;5,72
451-459 VII.9 ENFERMEDADES DE VENAS Y LINFÁTICOS Y OTRAS ENFERMEDADES DEL APARATO CIRCULATORIO;Casos urgentes:Hombres;5,62
451-459 VII.9 ENFERMEDADES DE VENAS Y LINFÁTICOS Y OTRAS ENFERMEDADES DEL APARATO CIRCULATORIO;Casos urgentes:Mujeres;5,84
451-453 Flebitis, tromboflebitis, embolias y trombosis venosa;Total;6,08
451-453 Flebitis, tromboflebitis, embolias y trombosis venosa;Casos ordinarios:Ambos sexos;6,81
451-453 Flebitis, tromboflebitis, embolias y trombosis venosa;Casos ordinarios:Hombres;6,23
451-453 Flebitis, tromboflebitis, embolias y trombosis venosa;Casos ordinarios:Mujeres;7,45
451-453 Flebitis, tromboflebitis, embolias y trombosis venosa;Casos urgentes:Ambos sexos;6,00
451-453 Flebitis, tromboflebitis, embolias y trombosis venosa;Casos urgentes:Hombres;5,93
451-453 Flebitis, tromboflebitis, embolias y trombosis venosa;Casos urgentes:Mujeres;6,07
454 Venas varicosas de las extremidades inferiores;Total;1,57
454 Venas varicosas de las extremidades inferiores;Casos ordinarios:Ambos sexos;1,29
454 Venas varicosas de las extremidades inferiores;Casos ordinarios:Hombres;1,27
454 Venas varicosas de las extremidades inferiores;Casos ordinarios:Mujeres;1,30
454 Venas varicosas de las extremidades inferiores;Casos urgentes:Ambos sexos;4,90
454 Venas varicosas de las extremidades inferiores;Casos urgentes:Hombres;5,06
454 Venas varicosas de las extremidades inferiores;Casos urgentes:Mujeres;4,80
Resto (451-459) Otras enfermedades de venas y linfáticos y otras enfermedades del aparato circulatorio;Total;2,97
Resto (451-459) Otras enfermedades de venas y linfáticos y otras enfermedades del aparato circulatorio;Casos ordinarios:Ambos sexos;1,82
Resto (451-459) Otras enfermedades de venas y linfáticos y otras enfermedades del aparato circulatorio;Casos ordinarios:Hombres;1,79
Resto (451-459) Otras enfermedades de venas y linfáticos y otras enfermedades del aparato circulatorio;Casos ordinarios:Mujeres;1,87
Resto (451-459) Otras enfermedades de venas y linfáticos y otras enfermedades del aparato circulatorio;Casos urgentes:Ambos sexos;5,49
Resto (451-459) Otras enfermedades de venas y linfáticos y otras enfermedades del aparato circulatorio;Casos urgentes:Hombres;5,32
Resto (451-459) Otras enfermedades de venas y linfáticos y otras enfermedades del aparato circulatorio;Casos urgentes:Mujeres;5,70
460-519 VIII ENFERMEDADES DEL APARATO RESPIRATORIO;Total;6,79
460-519 VIII ENFERMEDADES DEL APARATO RESPIRATORIO;Casos ordinarios:Ambos sexos;5,13
460-519 VIII ENFERMEDADES DEL APARATO RESPIRATORIO;Casos ordinarios:Hombres;4,95
460-519 VIII ENFERMEDADES DEL APARATO RESPIRATORIO;Casos ordinarios:Mujeres;5,37
460-519 VIII ENFERMEDADES DEL APARATO RESPIRATORIO;Casos urgentes:Ambos sexos;7,13
460-519 VIII ENFERMEDADES DEL APARATO RESPIRATORIO;Casos urgentes:Hombres;7,18
460-519 VIII ENFERMEDADES DEL APARATO RESPIRATORIO;Casos urgentes:Mujeres;7,07
460-478 VIII.1 INFECCIONES RESPIRATORIAS AGUDAS Y OTRAS ENFERMEDADES DEL TRACTO RESPIRATORIO SUPERIOR;Total;3,34
460-478 VIII.1 INFECCIONES RESPIRATORIAS AGUDAS Y OTRAS ENFERMEDADES DEL TRACTO RESPIRATORIO SUPERIOR;Casos ordinarios:Ambos sexos;1,85
460-478 VIII.1 INFECCIONES RESPIRATORIAS AGUDAS Y OTRAS ENFERMEDADES DEL TRACTO RESPIRATORIO SUPERIOR;Casos ordinarios:Hombres;1,70
460-478 VIII.1 INFECCIONES RESPIRATORIAS AGUDAS Y OTRAS ENFERMEDADES DEL TRACTO RESPIRATORIO SUPERIOR;Casos ordinarios:Mujeres;2,04
460-478 VIII.1 INFECCIONES RESPIRATORIAS AGUDAS Y OTRAS ENFERMEDADES DEL TRACTO RESPIRATORIO SUPERIOR;Casos urgentes:Ambos sexos;4,52
460-478 VIII.1 INFECCIONES RESPIRATORIAS AGUDAS Y OTRAS ENFERMEDADES DEL TRACTO RESPIRATORIO SUPERIOR;Casos urgentes:Hombres;4,25
460-478 VIII.1 INFECCIONES RESPIRATORIAS AGUDAS Y OTRAS ENFERMEDADES DEL TRACTO RESPIRATORIO SUPERIOR;Casos urgentes:Mujeres;4,80
466 Bronquitis y bronquiolitis aguda;Total;5,33
466 Bronquitis y bronquiolitis aguda;Casos ordinarios:Ambos sexos;7,80
466 Bronquitis y bronquiolitis aguda;Casos ordinarios:Hombres;7,12
466 Bronquitis y bronquiolitis aguda;Casos ordinarios:Mujeres;8,25
466 Bronquitis y bronquiolitis aguda;Casos urgentes:Ambos sexos;5,16
466 Bronquitis y bronquiolitis aguda;Casos urgentes:Hombres;4,84
466 Bronquitis y bronquiolitis aguda;Casos urgentes:Mujeres;5,45
474 Enfermedad crónica de amígdalas y adenoides;Total;1,30
474 Enfermedad crónica de amígdalas y adenoides;Casos ordinarios:Ambos sexos;1,29
474 Enfermedad crónica de amígdalas y adenoides;Casos ordinarios:Hombres;1,29
474 Enfermedad crónica de amígdalas y adenoides;Casos ordinarios:Mujeres;1,29
474 Enfermedad crónica de amígdalas y adenoides;Casos urgentes:Ambos sexos;1,51
474 Enfermedad crónica de amígdalas y adenoides;Casos urgentes:Hombres;1,53
474 Enfermedad crónica de amígdalas y adenoides;Casos urgentes:Mujeres;1,49
Resto (460-478) Otras infecciones respiratorias agudas y otras enfermedades del tracto respiratorio superior;Total;2,30
Resto (460-478) Otras infecciones respiratorias agudas y otras enfermedades del tracto respiratorio superior;Casos ordinarios:Ambos sexos;1,61
Resto (460-478) Otras infecciones respiratorias agudas y otras enfermedades del tracto respiratorio superior;Casos ordinarios:Hombres;1,59
Resto (460-478) Otras infecciones respiratorias agudas y otras enfermedades del tracto respiratorio superior;Casos ordinarios:Mujeres;1,66
Resto (460-478) Otras infecciones respiratorias agudas y otras enfermedades del tracto respiratorio superior;Casos urgentes:Ambos sexos;3,25
Resto (460-478) Otras infecciones respiratorias agudas y otras enfermedades del tracto respiratorio superior;Casos urgentes:Hombres;3,24
Resto (460-478) Otras infecciones respiratorias agudas y otras enfermedades del tracto respiratorio superior;Casos urgentes:Mujeres;3,27
480-488 VIII.2 NEUMONÍA Y GRIPE;Total;8,09
480-488 VIII.2 NEUMONÍA Y GRIPE;Casos ordinarios:Ambos sexos;11,73
480-488 VIII.2 NEUMONÍA Y GRIPE;Casos ordinarios:Hombres;11,78
480-488 VIII.2 NEUMONÍA Y GRIPE;Casos ordinarios:Mujeres;11,67
480-488 VIII.2 NEUMONÍA Y GRIPE;Casos urgentes:Ambos sexos;7,82
480-488 VIII.2 NEUMONÍA Y GRIPE;Casos urgentes:Hombres;7,88
480-488 VIII.2 NEUMONÍA Y GRIPE;Casos urgentes:Mujeres;7,74
480-486 Neumonía;Total;8,20
480-486 Neumonía;Casos ordinarios:Ambos sexos;11,92
480-486 Neumonía;Casos ordinarios:Hombres;11,96
480-486 Neumonía;Casos ordinarios:Mujeres;11,88
480-486 Neumonía;Casos urgentes:Ambos sexos;7,92
480-486 Neumonía;Casos urgentes:Hombres;7,99
480-486 Neumonía;Casos urgentes:Mujeres;7,83
487-488 Gripe;Total;6,52
487-488 Gripe;Casos ordinarios:Ambos sexos;7,88
487-488 Gripe;Casos ordinarios:Hombres;7,51
487-488 Gripe;Casos ordinarios:Mujeres;8,20
487-488 Gripe;Casos urgentes:Ambos sexos;6,45
487-488 Gripe;Casos urgentes:Hombres;6,23
487-488 Gripe;Casos urgentes:Mujeres;6,67
490-496 VIII.3 ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA Y ENFERMEDADES ASOCIADAS;Total;7,49
490-496 VIII.3 ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA Y ENFERMEDADES ASOCIADAS;Casos ordinarios:Ambos sexos;10,86
490-496 VIII.3 ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA Y ENFERMEDADES ASOCIADAS;Casos ordinarios:Hombres;11,25
490-496 VIII.3 ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA Y ENFERMEDADES ASOCIADAS;Casos ordinarios:Mujeres;10,16
490-496 VIII.3 ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA Y ENFERMEDADES ASOCIADAS;Casos urgentes:Ambos sexos;7,19
490-496 VIII.3 ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA Y ENFERMEDADES ASOCIADAS;Casos urgentes:Hombres;7,27
490-496 VIII.3 ENFERMEDAD PULMONAR OBSTRUCTIVA CRÓNICA Y ENFERMEDADES ASOCIADAS;Casos urgentes:Mujeres;7,03
490-492,494,496 Enfermedad pulmonar obstructiva crónica y bronquitis;Total;8,00
490-492,494,496 Enfermedad pulmonar obstructiva crónica y bronquitis;Casos ordinarios:Ambos sexos;11,47
490-492,494,496 Enfermedad pulmonar obstructiva crónica y bronquitis;Casos ordinarios:Hombres;11,58
490-492,494,496 Enfermedad pulmonar obstructiva crónica y bronquitis;Casos ordinarios:Mujeres;11,21
490-492,494,496 Enfermedad pulmonar obstructiva crónica y bronquitis;Casos urgentes:Ambos sexos;7,65
490-492,494,496 Enfermedad pulmonar obstructiva crónica y bronquitis;Casos urgentes:Hombres;7,62
490-492,494,496 Enfermedad pulmonar obstructiva crónica y bronquitis;Casos urgentes:Mujeres;7,73
493 Asma;Total;5,84
493 Asma;Casos ordinarios:Ambos sexos;7,53
493 Asma;Casos ordinarios:Hombres;6,20
493 Asma;Casos ordinarios:Mujeres;7,97
493 Asma;Casos urgentes:Ambos sexos;5,75
493 Asma;Casos urgentes:Hombres;4,54
493 Asma;Casos urgentes:Mujeres;6,30
Resto (490-496) Otras enfermedades asociadas a enfermedad pulmonar obstructiva crónica;Total;8,86
Resto (490-496) Otras enfermedades asociadas a enfermedad pulmonar obstructiva crónica;Casos ordinarios:Ambos sexos;6,29
Resto (490-496) Otras enfermedades asociadas a enfermedad pulmonar obstructiva crónica;Casos ordinarios:Hombres;6,32
Resto (490-496) Otras enfermedades asociadas a enfermedad pulmonar obstructiva crónica;Casos ordinarios:Mujeres;6,28
Resto (490-496) Otras enfermedades asociadas a enfermedad pulmonar obstructiva crónica;Casos urgentes:Ambos sexos;9,69
Resto (490-496) Otras enfermedades asociadas a enfermedad pulmonar obstructiva crónica;Casos urgentes:Hombres;9,06
Resto (490-496) Otras enfermedades asociadas a enfermedad pulmonar obstructiva crónica;Casos urgentes:Mujeres;10,27
500-519 VIII.4 NEUMOCONIOSIS, ENFERMEDADES PULMONARES OCASIONADAS POR AGENTES EXTERNOS Y OTRAS ENF. DEL APARATO RESPIRATORIO;Total;8,01
500-519 VIII.4 NEUMOCONIOSIS, ENFERMEDADES PULMONARES OCASIONADAS POR AGENTES EXTERNOS Y OTRAS ENF. DEL APARATO RESPIRATORIO;Casos ordinarios:Ambos sexos;9,66
500-519 VIII.4 NEUMOCONIOSIS, ENFERMEDADES PULMONARES OCASIONADAS POR AGENTES EXTERNOS Y OTRAS ENF. DEL APARATO RESPIRATORIO;Casos ordinarios:Hombres;9,22
500-519 VIII.4 NEUMOCONIOSIS, ENFERMEDADES PULMONARES OCASIONADAS POR AGENTES EXTERNOS Y OTRAS ENF. DEL APARATO RESPIRATORIO;Casos ordinarios:Mujeres;10,11
500-519 VIII.4 NEUMOCONIOSIS, ENFERMEDADES PULMONARES OCASIONADAS POR AGENTES EXTERNOS Y OTRAS ENF. DEL APARATO RESPIRATORIO;Casos urgentes:Ambos sexos;7,81
500-519 VIII.4 NEUMOCONIOSIS, ENFERMEDADES PULMONARES OCASIONADAS POR AGENTES EXTERNOS Y OTRAS ENF. DEL APARATO RESPIRATORIO;Casos urgentes:Hombres;7,88
500-519 VIII.4 NEUMOCONIOSIS, ENFERMEDADES PULMONARES OCASIONADAS POR AGENTES EXTERNOS Y OTRAS ENF. DEL APARATO RESPIRATORIO;Casos urgentes:Mujeres;7,74
520-579 IX ENFERMEDADES DEL APARATO DIGESTIVO;Total;5,36
520-579 IX ENFERMEDADES DEL APARATO DIGESTIVO;Casos ordinarios:Ambos sexos;2,96
520-579 IX ENFERMEDADES DEL APARATO DIGESTIVO;Casos ordinarios:Hombres;2,80
520-579 IX ENFERMEDADES DEL APARATO DIGESTIVO;Casos ordinarios:Mujeres;3,18
520-579 IX ENFERMEDADES DEL APARATO DIGESTIVO;Casos urgentes:Ambos sexos;6,83
520-579 IX ENFERMEDADES DEL APARATO DIGESTIVO;Casos urgentes:Hombres;6,85
520-579 IX ENFERMEDADES DEL APARATO DIGESTIVO;Casos urgentes:Mujeres;6,82
520-529 IX.1 ENFERMEDADES DE LA CAVIDAD ORAL, DE LAS GLÁNDULAS SALIVARES Y MAXILARES;Total;3,25
520-529 IX.1 ENFERMEDADES DE LA CAVIDAD ORAL, DE LAS GLÁNDULAS SALIVARES Y MAXILARES;Casos ordinarios:Ambos sexos;2,12
520-529 IX.1 ENFERMEDADES DE LA CAVIDAD ORAL, DE LAS GLÁNDULAS SALIVARES Y MAXILARES;Casos ordinarios:Hombres;2,16
520-529 IX.1 ENFERMEDADES DE LA CAVIDAD ORAL, DE LAS GLÁNDULAS SALIVARES Y MAXILARES;Casos ordinarios:Mujeres;2,09
520-529 IX.1 ENFERMEDADES DE LA CAVIDAD ORAL, DE LAS GLÁNDULAS SALIVARES Y MAXILARES;Casos urgentes:Ambos sexos;4,77
520-529 IX.1 ENFERMEDADES DE LA CAVIDAD ORAL, DE LAS GLÁNDULAS SALIVARES Y MAXILARES;Casos urgentes:Hombres;4,89
520-529 IX.1 ENFERMEDADES DE LA CAVIDAD ORAL, DE LAS GLÁNDULAS SALIVARES Y MAXILARES;Casos urgentes:Mujeres;4,64
520-525 Trastornos de los dientes y de las estructuras de soporte;Total;2,64
520-525 Trastornos de los dientes y de las estructuras de soporte;Casos ordinarios:Ambos sexos;1,85
520-525 Trastornos de los dientes y de las estructuras de soporte;Casos ordinarios:Hombres;1,80
520-525 Trastornos de los dientes y de las estructuras de soporte;Casos ordinarios:Mujeres;1,90
520-525 Trastornos de los dientes y de las estructuras de soporte;Casos urgentes:Ambos sexos;3,86
520-525 Trastornos de los dientes y de las estructuras de soporte;Casos urgentes:Hombres;3,86
520-525 Trastornos de los dientes y de las estructuras de soporte;Casos urgentes:Mujeres;3,85
526-529 Otras enfermedades de la cavidad oral, de las glándulas salivares y maxilares;Total;3,97
526-529 Otras enfermedades de la cavidad oral, de las glándulas salivares y maxilares;Casos ordinarios:Ambos sexos;2,48
526-529 Otras enfermedades de la cavidad oral, de las glándulas salivares y maxilares;Casos ordinarios:Hombres;2,53
526-529 Otras enfermedades de la cavidad oral, de las glándulas salivares y maxilares;Casos ordinarios:Mujeres;2,42
526-529 Otras enfermedades de la cavidad oral, de las glándulas salivares y maxilares;Casos urgentes:Ambos sexos;5,66
526-529 Otras enfermedades de la cavidad oral, de las glándulas salivares y maxilares;Casos urgentes:Hombres;5,82
526-529 Otras enfermedades de la cavidad oral, de las glándulas salivares y maxilares;Casos urgentes:Mujeres;5,46
530-539 IX.2 ENFERMEDADES DEL ESÓFAGO, ESTÓMAGO Y DUODENO;Total;6,11
530-539 IX.2 ENFERMEDADES DEL ESÓFAGO, ESTÓMAGO Y DUODENO;Casos ordinarios:Ambos sexos;4,50
530-539 IX.2 ENFERMEDADES DEL ESÓFAGO, ESTÓMAGO Y DUODENO;Casos ordinarios:Hombres;4,44
530-539 IX.2 ENFERMEDADES DEL ESÓFAGO, ESTÓMAGO Y DUODENO;Casos ordinarios:Mujeres;4,56
530-539 IX.2 ENFERMEDADES DEL ESÓFAGO, ESTÓMAGO Y DUODENO;Casos urgentes:Ambos sexos;6,51
530-539 IX.2 ENFERMEDADES DEL ESÓFAGO, ESTÓMAGO Y DUODENO;Casos urgentes:Hombres;6,61
530-539 IX.2 ENFERMEDADES DEL ESÓFAGO, ESTÓMAGO Y DUODENO;Casos urgentes:Mujeres;6,36
530 Enfermedades del esófago;Total;5,37
530 Enfermedades del esófago;Casos ordinarios:Ambos sexos;3,73
530 Enfermedades del esófago;Casos ordinarios:Hombres;3,67
530 Enfermedades del esófago;Casos ordinarios:Mujeres;3,81
530 Enfermedades del esófago;Casos urgentes:Ambos sexos;6,52
530 Enfermedades del esófago;Casos urgentes:Hombres;6,56
530 Enfermedades del esófago;Casos urgentes:Mujeres;6,46
531-534 Úlceras;Total;7,46
531-534 Úlceras;Casos ordinarios:Ambos sexos;8,37
531-534 Úlceras;Casos ordinarios:Hombres;8,33
531-534 Úlceras;Casos ordinarios:Mujeres;8,43
531-534 Úlceras;Casos urgentes:Ambos sexos;7,41
531-534 Úlceras;Casos urgentes:Hombres;7,26
531-534 Úlceras;Casos urgentes:Mujeres;7,72
535-539 Gastritis y otras enfermedades del estómago y duodeno;Total;5,66
535-539 Gastritis y otras enfermedades del estómago y duodeno;Casos ordinarios:Ambos sexos;5,16
535-539 Gastritis y otras enfermedades del estómago y duodeno;Casos ordinarios:Hombres;5,31
535-539 Gastritis y otras enfermedades del estómago y duodeno;Casos ordinarios:Mujeres;5,04
535-539 Gastritis y otras enfermedades del estómago y duodeno;Casos urgentes:Ambos sexos;5,74
535-539 Gastritis y otras enfermedades del estómago y duodeno;Casos urgentes:Hombres;5,88
535-539 Gastritis y otras enfermedades del estómago y duodeno;Casos urgentes:Mujeres;5,62
540-543 IX.3 APENDICITIS;Total;3,66
540-543 IX.3 APENDICITIS;Casos ordinarios:Ambos sexos;3,15
540-543 IX.3 APENDICITIS;Casos ordinarios:Hombres;3,23
540-543 IX.3 APENDICITIS;Casos ordinarios:Mujeres;3,08
540-543 IX.3 APENDICITIS;Casos urgentes:Ambos sexos;3,68
540-543 IX.3 APENDICITIS;Casos urgentes:Hombres;3,72
540-543 IX.3 APENDICITIS;Casos urgentes:Mujeres;3,63
550-553 IX.4 HERNIA DE LA CAVIDAD ABDOMINAL;Total;2,36
550-553 IX.4 HERNIA DE LA CAVIDAD ABDOMINAL;Casos ordinarios:Ambos sexos;1,94
550-553 IX.4 HERNIA DE LA CAVIDAD ABDOMINAL;Casos ordinarios:Hombres;1,74
550-553 IX.4 HERNIA DE LA CAVIDAD ABDOMINAL;Casos ordinarios:Mujeres;2,46
550-553 IX.4 HERNIA DE LA CAVIDAD ABDOMINAL;Casos urgentes:Ambos sexos;4,81
550-553 IX.4 HERNIA DE LA CAVIDAD ABDOMINAL;Casos urgentes:Hombres;4,03
550-553 IX.4 HERNIA DE LA CAVIDAD ABDOMINAL;Casos urgentes:Mujeres;5,74
550 Hernia inguinal;Total;1,51
550 Hernia inguinal;Casos ordinarios:Ambos sexos;1,38
550 Hernia inguinal;Casos ordinarios:Hombres;1,39
550 Hernia inguinal;Casos ordinarios:Mujeres;1,36
550 Hernia inguinal;Casos urgentes:Ambos sexos;2,70
550 Hernia inguinal;Casos urgentes:Hombres;2,61
550 Hernia inguinal;Casos urgentes:Mujeres;3,08
551-553 Otras hernias abdominales;Total;3,38
551-553 Otras hernias abdominales;Casos ordinarios:Ambos sexos;2,69
551-553 Otras hernias abdominales;Casos ordinarios:Hombres;2,61
551-553 Otras hernias abdominales;Casos ordinarios:Mujeres;2,78
551-553 Otras hernias abdominales;Casos urgentes:Ambos sexos;6,02
551-553 Otras hernias abdominales;Casos urgentes:Hombres;5,77
551-553 Otras hernias abdominales;Casos urgentes:Mujeres;6,17
555-569 IX.5 ENTERITIS Y COLITIS NO INFECCIOSA Y OTRAS ENFERMEDADES DEL INTESTINO Y PERITONEO;Total;6,40
555-569 IX.5 ENTERITIS Y COLITIS NO INFECCIOSA Y OTRAS ENFERMEDADES DEL INTESTINO Y PERITONEO;Casos ordinarios:Ambos sexos;5,29
555-569 IX.5 ENTERITIS Y COLITIS NO INFECCIOSA Y OTRAS ENFERMEDADES DEL INTESTINO Y PERITONEO;Casos ordinarios:Hombres;4,83
555-569 IX.5 ENTERITIS Y COLITIS NO INFECCIOSA Y OTRAS ENFERMEDADES DEL INTESTINO Y PERITONEO;Casos ordinarios:Mujeres;5,89
555-569 IX.5 ENTERITIS Y COLITIS NO INFECCIOSA Y OTRAS ENFERMEDADES DEL INTESTINO Y PERITONEO;Casos urgentes:Ambos sexos;6,65
555-569 IX.5 ENTERITIS Y COLITIS NO INFECCIOSA Y OTRAS ENFERMEDADES DEL INTESTINO Y PERITONEO;Casos urgentes:Hombres;6,54
555-569 IX.5 ENTERITIS Y COLITIS NO INFECCIOSA Y OTRAS ENFERMEDADES DEL INTESTINO Y PERITONEO;Casos urgentes:Mujeres;6,77
555-556 Enteritis regional y colitis ulcerosa;Total;9,33
555-556 Enteritis regional y colitis ulcerosa;Casos ordinarios:Ambos sexos;9,18
555-556 Enteritis regional y colitis ulcerosa;Casos ordinarios:Hombres;9,50
555-556 Enteritis regional y colitis ulcerosa;Casos ordinarios:Mujeres;8,83
555-556 Enteritis regional y colitis ulcerosa;Casos urgentes:Ambos sexos;9,38
555-556 Enteritis regional y colitis ulcerosa;Casos urgentes:Hombres;9,47
555-556 Enteritis regional y colitis ulcerosa;Casos urgentes:Mujeres;9,29
558 Otras gastroenteritis, colitis no infecciosas y no especificadas;Total;4,27
558 Otras gastroenteritis, colitis no infecciosas y no especificadas;Casos ordinarios:Ambos sexos;4,75
558 Otras gastroenteritis, colitis no infecciosas y no especificadas;Casos ordinarios:Hombres;4,53
558 Otras gastroenteritis, colitis no infecciosas y no especificadas;Casos ordinarios:Mujeres;4,92
558 Otras gastroenteritis, colitis no infecciosas y no especificadas;Casos urgentes:Ambos sexos;4,23
558 Otras gastroenteritis, colitis no infecciosas y no especificadas;Casos urgentes:Hombres;4,09
558 Otras gastroenteritis, colitis no infecciosas y no especificadas;Casos urgentes:Mujeres;4,36
560 Obstrucción intestinal sin mención de hernia;Total;8,27
560 Obstrucción intestinal sin mención de hernia;Casos ordinarios:Ambos sexos;10,71
560 Obstrucción intestinal sin mención de hernia;Casos ordinarios:Hombres;10,70
560 Obstrucción intestinal sin mención de hernia;Casos ordinarios:Mujeres;10,72
560 Obstrucción intestinal sin mención de hernia;Casos urgentes:Ambos sexos;8,05
560 Obstrucción intestinal sin mención de hernia;Casos urgentes:Hombres;8,03
560 Obstrucción intestinal sin mención de hernia;Casos urgentes:Mujeres;8,07
562 Divertículos intestinales;Total;7,18
562 Divertículos intestinales;Casos ordinarios:Ambos sexos;8,00
562 Divertículos intestinales;Casos ordinarios:Hombres;7,83
562 Divertículos intestinales;Casos ordinarios:Mujeres;8,16
562 Divertículos intestinales;Casos urgentes:Ambos sexos;7,08
562 Divertículos intestinales;Casos urgentes:Hombres;6,99
562 Divertículos intestinales;Casos urgentes:Mujeres;7,17
Resto (555-569) Otras enfermedades del intestino y peritoneo;Total;5,89
Resto (555-569) Otras enfermedades del intestino y peritoneo;Casos ordinarios:Ambos sexos;3,81
Resto (555-569) Otras enfermedades del intestino y peritoneo;Casos ordinarios:Hombres;3,44
Resto (555-569) Otras enfermedades del intestino y peritoneo;Casos ordinarios:Mujeres;4,39
Resto (555-569) Otras enfermedades del intestino y peritoneo;Casos urgentes:Ambos sexos;6,79
Resto (555-569) Otras enfermedades del intestino y peritoneo;Casos urgentes:Hombres;6,46
Resto (555-569) Otras enfermedades del intestino y peritoneo;Casos urgentes:Mujeres;7,21
570-579 IX.6 OTRAS ENFERMEDADES DEL APARATO DIGESTIVO;Total;6,52
570-579 IX.6 OTRAS ENFERMEDADES DEL APARATO DIGESTIVO;Casos ordinarios:Ambos sexos;3,24
570-579 IX.6 OTRAS ENFERMEDADES DEL APARATO DIGESTIVO;Casos ordinarios:Hombres;3,75
570-579 IX.6 OTRAS ENFERMEDADES DEL APARATO DIGESTIVO;Casos ordinarios:Mujeres;2,87
570-579 IX.6 OTRAS ENFERMEDADES DEL APARATO DIGESTIVO;Casos urgentes:Ambos sexos;8,58
570-579 IX.6 OTRAS ENFERMEDADES DEL APARATO DIGESTIVO;Casos urgentes:Hombres;8,76
570-579 IX.6 OTRAS ENFERMEDADES DEL APARATO DIGESTIVO;Casos urgentes:Mujeres;8,36
571 Enfermedad hepática y cirrosis crónica;Total;9,26
571 Enfermedad hepática y cirrosis crónica;Casos ordinarios:Ambos sexos;6,50
